Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0.000,1.6100E+02,9.1000E+01,2.5569E-14,0.0000E+00,0.0000E+00,0.0000E+00
2,0.010,1.6100E+02,9.1003E+01,1.5298E-04,1.6291E-02,-1.4118E+00,-1.4118E+00
3,0.020,1.6098E+02,9.1029E+01,1.9668E-04,-2.5628E+00,-2.7595E+00,-2.7595E+00
4,0.030,1.6099E+02,9.1044E+01,2.6827E-04,5.6662E-01,-4.2203E+00,-4.2203E+00
5,0.040,1.6101E+02,9.1065E+01,3.2263E-04,-2.9783E-03,-5.5971E+00,-5.5971E+00
6,0.040,1.6101E+02,9.1065E+01,3.2300E-04,-1.7870E-02,-5.6579E+00,-5.6579E+00
7,0.050,1.6104E+02,9.1093E+01,1.3780E-04,-3.4778E-05,-7.0896E+00,-7.0896E+00
8,0.060,1.6107E+02,9.1128E+01,1.3825E-05,4.5593E-04,-8.4389E+00,-8.4389E+00
9,0.070,1.6110E+02,9.1176E+01,-1.3885E-05,8.6451E-02,-9.7998E+00,-9.7998E+00
10,0.080,1.6114E+02,9.1223E+01,1.5373E-04,3.9246E-01,-1.1275E+01,-1.1275E+01
11,0.080,1.6114E+02,9.1223E+01,1.4469E-04,4.6470E-01,-1.1376E+01,-1.1376E+01
12,0.090,1.6119E+02,9.1275E+01,2.7418E-04,-1.7654E-03,-1.2764E+01,-1.2764E+01
13,0.100,1.6125E+02,9.1334E+01,6.2872E-05,4.1114E-01,-1.4127E+01,-1.4127E+01
14,0.110,1.6131E+02,9.1395E+01,1.9383E-04,3.7207E-01,-1.5443E+01,-1.5443E+01
15,0.120,1.6138E+02,9.1465E+01,2.2331E-04,-4.5040E-03,-1.6968E+01,-1.6968E+01
16,0.120,1.6138E+02,9.1465E+01,2.2041E-04,-1.1280E-01,-1.6966E+01,-1.6966E+01
17,0.130,1.6144E+02,9.1557E+01,9.5259E-05,-2.3370E+00,-1.8394E+01,-1.8394E+01
18,0.140,1.6148E+02,9.1661E+01,3.0005E-04,-2.9039E-02,-1.9844E+01,-1.9844E+01
19,0.150,1.6157E+02,9.1749E+01,2.5756E-05,-7.9590E-04,-2.1237E+01,-2.1237E+01
20,0.160,1.6165E+02,9.1850E+01,2.7668E-04,5.3654E-01,-2.2737E+01,-2.2737E+01
21,0.160,1.6165E+02,9.1851E+01,2.7315E-04,4.4991E-01,-2.2662E+01,-2.2662E+01
22,0.170,1.6175E+02,9.1951E+01,4.5573E-05,1.4628E-01,-2.3938E+01,-2.3938E+01
23,0.180,1.6186E+02,9.2060E+01,1.6088E-04,-7.5720E-03,-2.5543E+01,-2.5543E+01
24,0.190,1.6197E+02,9.2175E+01,2.5295E-04,-2.0089E-02,-2.6841E+01,-2.6841E+01
25,0.200,1.6208E+02,9.2300E+01,3.4226E-05,-6.5639E-03,-2.8315E+01,-2.8315E+01
26,0.200,1.6208E+02,9.2301E+01,3.0335E-05,2.9049E-02,-2.8310E+01,-2.8310E+01
