Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0.000,5.0000E+03,5.0000E+03,2.1392E-10,-4.8861E+01,-6.3611E-15,-2.0000E+02
2,0.020,5.0000E+03,5.0002E+03,-4.6790E-03,8.5118E+00,-3.9172E+00,-2.0000E+02
3,0.030,5.0003E+03,5.0006E+03,-3.1752E-02,-1.6949E+01,-5.9712E+00,-2.0000E+02
4,0.040,5.0004E+03,5.0010E+03,3.5868E-02,-2.7504E+01,-8.0000E+00,-2.0000E+02
5,0.040,5.0004E+03,5.0010E+03,3.5868E-02,-2.7507E+01,-8.0000E+00,-2.0000E+02
6,0.065,4.9983E+03,5.0058E+03,1.1178E+00,-3.3719E+01,-1.3030E+01,-1.9986E+02
7,0.080,4.9967E+03,5.0085E+03,1.8538E+00,-3.4377E+01,-1.5973E+01,-1.9966E+02
8,0.081,4.9966E+03,5.0086E+03,1.8825E+00,-3.4190E+01,-1.6079E+01,-1.9966E+02
9,0.097,4.9945E+03,5.0114E+03,2.7840E+00,-3.5246E+01,-1.9307E+01,-1.9942E+02
10,0.107,4.9934E+03,5.0131E+03,3.3628E+00,-3.7331E+01,-2.1289E+01,-1.9927E+02
11,0.120,4.9924E+03,5.0155E+03,4.1476E+00,3.6012E+01,-2.3886E+01,-1.9905E+02
12,0.125,4.9920E+03,5.0165E+03,4.4385E+00,2.6722E+01,-2.4837E+01,-1.9897E+02
13,0.137,4.9913E+03,5.0190E+03,5.1032E+00,1.2069E+01,-2.7149E+01,-1.9877E+02
14,0.148,4.9909E+03,5.0217E+03,5.6608E+00,2.8560E+00,-2.9360E+01,-1.9862E+02
15,0.160,4.9907E+03,5.0248E+03,6.2076E+00,3.1007E-01,-3.1756E+01,-1.9847E+02
16,0.161,4.9908E+03,5.0250E+03,6.2457E+00,-7.4764E+00,-3.1936E+01,-1.9846E+02
17,0.172,4.9912E+03,5.0279E+03,6.6905E+00,-1.0248E+01,-3.4035E+01,-1.9835E+02
18,0.182,4.9920E+03,5.0306E+03,7.1036E+00,-1.3921E+01,-3.6051E+01,-1.9824E+02
19,0.192,4.9930E+03,5.0338E+03,7.5448E+00,4.8528E+01,-3.8134E+01,-1.9810E+02
20,0.200,4.9937E+03,5.0362E+03,7.8225E+00,4.2901E+01,-3.9603E+01,-1.9802E+02
21,0.205,4.9943E+03,5.0377E+03,7.9788E+00,3.9064E+01,-4.0491E+01,-1.9797E+02
22,0.215,4.9956E+03,5.0414E+03,8.3017E+00,3.1225E+01,-4.2550E+01,-1.9786E+02
23,0.225,4.9972E+03,5.0450E+03,8.5689E+00,2.2351E+01,-4.4548E+01,-1.9776E+02
24,0.240,4.9987E+03,5.0516E+03,9.0905E+00,1.9416E+01,-4.7397E+01,-1.9749E+02
25,0.261,4.9983E+03,5.0626E+03,1.0288E+01,1.1765E+01,-5.1432E+01,-1.9678E+02
26,0.271,4.9981E+03,5.0679E+03,1.0836E+01,9.8613E+00,-5.3311E+01,-1.9643E+02
27,0.280,4.9977E+03,5.0724E+03,1.1332E+01,-1.2993E+01,-5.4908E+01,-1.9610E+02
28,0.288,4.9970E+03,5.0765E+03,1.1804E+01,-1.8276E+01,-5.6354E+01,-1.9577E+02
29,0.298,4.9959E+03,5.0815E+03,1.2429E+01,-1.5842E+01,-5.8185E+01,-1.9531E+02
30,0.308,4.9949E+03,5.0862E+03,1.3089E+01,-1.8746E+01,-5.9996E+01,-1.9480E+02
31,0.318,4.9938E+03,5.0908E+03,1.3740E+01,-2.2409E+01,-6.1778E+01,-1.9428E+02
32,0.320,4.9935E+03,5.0917E+03,1.3870E+01,-2.3150E+01,-6.2134E+01,-1.9417E+02
33,0.328,4.9927E+03,5.0952E+03,1.4381E+01,-2.6092E+01,-6.3543E+01,-1.9373E+02
34,0.339,4.9914E+03,5.0999E+03,1.5052E+01,1.2003E+01,-6.5398E+01,-1.9314E+02
35,0.349,4.9902E+03,5.1046E+03,1.5691E+01,-7.0241E+00,-6.7160E+01,-1.9254E+02
36,0.359,4.9888E+03,5.1095E+03,1.6299E+01,-1.6240E+01,-6.8920E+01,-1.9196E+02
37,0.360,4.9887E+03,5.1100E+03,1.6355E+01,9.2967E+00,-6.9087E+01,-1.9191E+02
38,0.369,4.9874E+03,5.1146E+03,1.6880E+01,-4.7614E+00,-7.0664E+01,-1.9138E+02
39,0.380,4.9856E+03,5.1204E+03,1.7528E+01,-3.4945E+00,-7.2522E+01,-1.9071E+02
40,0.391,4.9837E+03,5.1262E+03,1.8143E+01,6.7842E-01,-7.4268E+01,-1.9006E+02
41,0.400,4.9820E+03,5.1315E+03,1.8672E+01,4.0526E-01,-7.5789E+01,-1.8947E+02
42,0.401,4.9818E+03,5.1320E+03,1.8717E+01,-1.3796E-01,-7.5920E+01,-1.8942E+02
43,0.411,4.9798E+03,5.1379E+03,1.9285E+01,-4.5580E-02,-7.7566E+01,-1.8878E+02
44,0.421,4.9777E+03,5.1437E+03,1.9839E+01,-1.9200E-03,-7.9185E+01,-1.8813E+02
45,0.431,4.9756E+03,5.1496E+03,2.0384E+01,-1.3300E-02,-8.0790E+01,-1.8748E+02
46,0.440,4.9736E+03,5.1549E+03,2.0869E+01,8.6367E-03,-8.2227E+01,-1.8688E+02
47,0.441,4.9733E+03,5.1555E+03,2.0919E+01,-9.1151E-03,-8.2375E+01,-1.8682E+02
48,0.451,4.9711E+03,5.1614E+03,2.1445E+01,-8.5537E-03,-8.3949E+01,-1.8615E+02
49,0.461,4.9687E+03,5.1673E+03,2.1960E+01,-2.8297E-03,-8.5506E+01,-1.8549E+02
50,0.471,4.9662E+03,5.1733E+03,2.2471E+01,-7.3278E-02,-8.7061E+01,-1.8481E+02
51,0.480,4.9640E+03,5.1786E+03,2.2914E+01,-1.1819E-03,-8.8425E+01,-1.8422E+02
52,0.481,4.9637E+03,5.1793E+03,2.2967E+01,-3.7020E-02,-8.8588E+01,-1.8415E+02
53,0.491,4.9612E+03,5.1853E+03,2.3454E+01,-8.2581E-03,-9.0101E+01,-1.8348E+02
54,0.501,4.9585E+03,5.1913E+03,2.3932E+01,-7.0357E-03,-9.1602E+01,-1.8281E+02
