time,leftV,rightV
0,0,0
0.001,0,-0
0.002,-0.005005005005005,-0
0.003,-0.01001001001001,-0
0.004,-0.015015015015015,-0
0.005,-0.02002002002002,-0
0.006,-0.025025025025025,-0
0.007,-0.03003003003003,-0
0.008,-0.035035035035035,-0
0.009,-0.04004004004004,-0
0.01,-0.045045045045045,-0
0.011,-0.0500500500500501,-0
0.012,-0.0550550550550551,-0
0.013,-0.0600600600600601,-0
0.014,-0.0650650650650651,-0
0.015,-0.0700700700700701,-0
0.016,-0.0750750750750751,-0
0.017,-0.0800800800800801,-0
0.018,-0.0850850850850851,-0
0.019,-0.0900900900900901,-0
0.02,-0.0950950950950951,-0
0.021,-0.1001001001001,-0
0.022,-0.105105105105105,-0
0.023,-0.11011011011011,-0
0.024,-0.115115115115115,-0
0.025,-0.12012012012012,-0
0.026,-0.125125125125125,-0
0.027,-0.13013013013013,-0
0.028,-0.135135135135135,-0
0.029,-0.14014014014014,-0
0.03,-0.145145145145145,-0
0.031,-0.15015015015015,-0
0.032,-0.155155155155155,-0
0.033,-0.16016016016016,-0
0.034,-0.165165165165165,-0
0.035,-0.17017017017017,-0
0.036,-0.175175175175175,-0
0.037,-0.18018018018018,-0
0.038,-0.185185185185185,-0
0.039,-0.19019019019019,-0
0.04,-0.195195195195195,-0
0.041,-0.2002002002002,-0
0.042,-0.205205205205205,-0
0.043,-0.21021021021021,-0
0.044,-0.215215215215215,-0
0.045,-0.22022022022022,-0
0.046,-0.225225225225225,-0
0.047,-0.23023023023023,-0
0.048,-0.235235235235235,-0
0.049,-0.24024024024024,-0
0.05,-0.245245245245245,-0
0.051,-0.25025025025025,-0
0.052,-0.255255255255255,-0
0.053,-0.26026026026026,-0
0.054,-0.265265265265265,-0
0.055,-0.27027027027027,-0
0.056,-0.275275275275275,-0
0.057,-0.28028028028028,-0
0.058,-0.285285285285285,-0
0.059,-0.29029029029029,-0
0.06,-0.295295295295295,-0
0.061,-0.3003003003003,-0
0.062,-0.305305305305305,-0
0.063,-0.31031031031031,-0
0.064,-0.315315315315315,-0
0.065,-0.32032032032032,-0
0.066,-0.325325325325325,-0
0.067,-0.33033033033033,-0
0.068,-0.335335335335335,-0
0.069,-0.34034034034034,-0
0.07,-0.345345345345345,-0
0.071,-0.35035035035035,-0
0.072,-0.355355355355355,-0
0.073,-0.36036036036036,-0
0.074,-0.365365365365365,-0
0.075,-0.37037037037037,-0
0.076,-0.375375375375375,-0
0.077,-0.38038038038038,-0
0.078,-0.385385385385385,-0
0.079,-0.39039039039039,-0
0.08,-0.395395395395395,-0
0.081,-0.4004004004004,-0
0.082,-0.405405405405405,-0
0.083,-0.41041041041041,-0
0.084,-0.415415415415415,-0
0.085,-0.42042042042042,-0
